Name,Avg,Humanities,NaturalSciences,Art & Sports,Engineering,Medicine
ICT폴리텍대학,2200,0,0,0,2200,0
가톨릭상지대학교,5504,4587,6082,5600,5586,0
강동대학교,5725,5143,5979,6080,6019,0
강릉영동대학교,5669,5130,5932,0,5908,0
강원관광대학,4991,4810,5328,5226,0,0
강원도립대학,2361,2030,2448,2448,2448,0
거제대학교,6058,5327,6734,0,6038,0
경기과학기술대학교,6325,5720,0,6320,6442,0
경남도립거창대학,2823,2396,2890,0,2890,0
경남도립남해대학,2755,2396,2890,0,2890,0
경남정보대학교,6090,5793,6229,6186,6186,0
경민대학교,6409,6026,6605,6740,6664,0
경복대학교,6095,5567,6470,6430,6389,0
경북과학대학교,5646,5205,5928,5928,0,0
경북도립대학교,2449,2154,2598,2598,2598,0
경북전문대학교,5528,4869,5984,4859,5507,0
경인여자대학교,5881,5456,6209,6379,6376,0
계명문화대학교,5761,5144,6187,6282,6282,0
계원예술대학교,7564,0,0,7564,0,0
고구려대학교,4310,4256,4845,4275,4092,0
광양보건대학교,5725,4100,5956,4100,4177,0
광주보건대학교,5083,4452,5161,0,0,0
구미대학교,5668,4800,5759,5490,5900,0
구세군사관학교,6400,6400,0,0,0,0
국제대학교,6323,5737,6637,6618,6618,0
군산간호대학교,6300,0,6300,0,0,0
군장대학교,5752,4803,5614,6913,5973,0
기독간호대학교,5318,0,5318,0,0,0
김천과학대학교,5505,4639,5587,0,5558,0
김포대학교,6226,5666,6808,6764,6608,0
김해대학교,5422,4632,6116,0,4810,0
농협대학교,4737,4737,0,0,0,0
대경대학교,6157,5255,6464,6490,6317,0
대구공업대학교,5910,5022,5877,6274,6274,0
대구과학대학교,5639,5012,5910,5960,5960,0
대구미래대학교,5678,5020,5990,6250,0,0
대구보건대학교,6095,5304,6151,6688,6608,0
대덕대학교,5600,4888,5430,5898,5894,0
대동대학교,5629,5225,5961,0,0,0
대림대학교,6556,5841,7000,6861,6726,0
대원대학교,5569,4849,5816,0,5754,0
대전과학기술대학교,5793,4984,6098,6196,6098,0
대전보건대학교,5513,4528,5659,5582,5488,0
동강대학교,5136,4674,5499,5334,5188,0
동남보건대학교,6423,6002,6594,0,0,0
동부산대학교,6000,5704,6219,6152,6376,0
동서울대학교,6726,6120,6800,7000,6800,0
동아방송예술대학교,7372,0,0,7372,0,0
동아인재대학교,4711,4500,4933,0,4500,0
동양미래대학교,6569,6060,0,7300,6640,0
동원과학기술대학교,5462,4748,5676,5600,5600,0
동원대학교,6475,5934,6883,7018,6826,0
동의과학대학교,6217,5704,6491,6296,6296,0
동주대학교,5921,5573,6105,6128,6125,0
두원공과대학교,6401,5613,6545,7145,6522,0
마산대학교,5710,4701,6121,5007,5110,0
명지전문대학,6383,5524,0,6958,6958,0
목포과학대학교,5318,4830,5510,5513,4982,0
문경대학교,5614,4920,6032,6070,0,0
배화여자대학교,5638,5324,6030,6030,6540,0
백석문화대학교,6535,6070,6880,7118,6870,0
백제예술대학교,7486,0,0,7486,0,0
부산경상대학교,5697,5498,5988,5988,5988,0
부산과학기술대학교,6032,5813,6306,6092,6067,0
부산여자대학교,5823,5622,6115,5980,0,0
부산예술대학교,6300,4400,0,6523,0,0
부천대학교,6499,6295,6842,6614,6590,0
삼육보건대학교,5738,5436,5781,0,0,0
상지영서대학교,5766,5338,6157,6151,6085,0
서라벌대학교,5431,4767,5737,5750,5750,0
